"OTU" "Feature_name" "134_179_Lych_384_193_S1_L001" "134_180_Reso_372_205_S2_L001" "134_184_Barg_360_217_S3_L001" "134_185_Barg_348_229_S4_L001" "134_186_Reso_336_241_S5_L001" "134_188_Barg_324_253_S6_L001" "134_189_Barg_312_265_S7_L001" "134_190_Eren_300_277_S8_L001" "134_193_Reso_371_206_S10_L001" "134_200_Fril_359_218_S11_L001" "134_201_Apol_347_230_S12_L001" "134_202_Apol_335_242_S13_L001" "134_203_Barg_323_254_S14_L001" "134_204_Keph_311_266_S15_L001" "134_205_Keph_299_278_S16_L001" "134_206_Nano_382_195_S17_L001" "134_207_Unde_370_207_S18_L001" "134_208_Lily_358_219_S19_L001" "134_209_Phys_346_231_S20_L001" "134_210_Lych_334_243_S21_L001" "134_211_Apol_322_255_S22_L001" "134_212_Fril_310_267_S23_L001" "134_213_Fors_298_279_S24_L001" "134_214_Lych_381_196_S25_L001" "134_215_Agal_369_208_S26_L001" "134_216_Diph_357_220_S27_L001" "134_217_Diph_345_232_S28_L001" "134_218_Diph_333_244_S29_L001" "134_219_Diph_321_256_S30_L001" "134_220_Cord_309_268_S31_L001" "134_221_Diph_297_280_S32_L001" "134_222_Gymn_380_197_S33_L001" "134_223_Cras_368_209_S34_L001" "134_225_Nano_344_233_S36_L001" "134_226_Desm_332_245_S37_L001" "134_229_Chun_320_257_S38_L001" "134_230_Lych_308_269_S39_L001" "134_231_Fors_296_281_S40_L001" "134_232_Barg_379_198_S41_L001" "134_237_Chun_367_210_S42_L001" "134_238_Gymn_355_222_S43_L001" "134_239_Barg_343_234_S44_L001" "134_240_Chun_331_246_S45_L001"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata" "cc80f0c93e413e986c8a5a5e23ec85c3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19289" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata" "48bf4b73e0d6081eac0f88c7d8532c93" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14550" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_120_90.47_____" "f34349a41f6aa4df2ecd79ecc0acb0e0" "0" "0" "13299" "0" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_120_90.20_____" "b92dd5d08afc1fcfc6b9c98b8ceafca0" "0" "0" "4" "0" "0" "0" "0" "40" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11738"
"Eukaryota__100_120_90.20_____" "90a9cff5a981b03c9fb38d8cac92466c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10844"
"Eukaryota__99.16_119_90.28_____" "0e631bda60b5ff21b7b013864fd7162c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10644" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.16_119_90.72___" "ee23c478caa2a549f6b1b3026e5137b3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7426" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae" "a3cd8e32005d1c39fe56b921809993a9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "30" "0" "0" "0" "0" "0" "7148" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae" "3c390f50f21a004425a0c8b68d857552" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "69" "0" "0" "0" "0" "0" "0" "33" "0" "0" "0" "0" "0" "6563" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Bacteria__98.36_61_89.37_____" "4b3f1b9116a8721e16dc23582b5fae1b" "0" "0" "0" "0" "0" "2049" "0" "0" "0" "0" "0" "0" "532" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Bacteria__98.36_61_89.37_____" "2bfb41ae1b9980a77bd10855ed5fb2ad" "0" "0" "0" "0" "0" "2082" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__97.48_119_90.02_____" "81acadabe8d88739617ead6b0fc1d65e" "0" "1384" "0" "0" "613" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_114_89.27_____" "f310300b073065f8b6aa4babc7e1778a" "0" "0" "304" "62" "44" "221" "31" "394" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_114_89.27_____" "1fccfabbe384722adabdb9d9b0e237f7" "0" "0" "191" "70" "0" "229" "0" "327" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Bacteria__98.36_61_89.37_____" "974d3b3ffeee6a14e43c09701761377d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "501" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "255" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_119_91.31___" "18cdbe3d2881d7e32eb3525a5fcf89ed" "0" "0" "0" "0" "7" "0" "0" "0" "100" "0" "0" "0" "0" "20" "33" "0" "0" "0" "0" "0" "30" "0" "0" "0" "0" "0" "3" "0" "0" "77" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "24" "28" "0"
"Bacteria__98.36_61_89.37_____" "d0a9aa3da52164360428884bac13baf0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "303" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.14_116_87.73___" "cf5569a4ca838867eb2d13eec241136c" "0" "0" "290" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.14_116_87.73___" "753fcb1f677a1dc0fe89d5bc6c8cbaa7" "0" "0" "263" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Fungi_Fungi incertae sedis_Early diverging fungal lineages_Mucoromycotina_Mucorales_Mucorineae_Rhizopodaceae_Rhizopus_" "07b2c50462bbf3169a4fe65611d86cca" "0" "0" "0" "205" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Fungi_Fungi incertae sedis_Early diverging fungal lineages_Mucoromycotina_Mucorales_Mucorineae_Rhizopodaceae_Rhizopus_" "9753a24a762b0d0f861642c9341b4744" "0" "0" "0" "188" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles__98.29_117_71.99____" "f3dbe10759a3173b70148eb38e0757b2" "0" "0" "95" "52" "0" "0" "35" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_117_91.29___" "1583c61958dc2322032c87308f845a82" "0" "0" "0" "0" "141" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.04_104_88.48_____" "d288f428a808c6e521729200b94b4ce3" "0" "0" "0" "0" "117" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__91.09_101_87.08_____" "de3a317d3262e47c4f81088997b4997b" "0" "0" "112" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.04_104_88.48_____" "06cb75a7d071d4675a8506520695e3fb" "0" "0" "0" "0" "111" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__91.09_101_87.08_____" "31c434af8fdcbcb1bb2302228d725dff" "0" "0" "110" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_117_91.29___" "3719482f091c5cf57694b76be0956584" "0" "0" "0" "0" "103" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_115_91.27_____" "27d092feae7de30f44c691abddd0feae" "0" "0" "0" "0" "0" "30" "0" "57" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae" "357fa098ba03896e8f04267f02bf7439" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "79" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_115_91.27_____" "4c2848fa3d1bf12e23c564abad3556cf" "0" "0" "0" "0" "0" "30" "0" "42" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Fungi_environmental samples_uncultured fungus__100_118_91.30__" "ca12f8417011275295499f263fcd7f2f" "0" "0" "0" "0" "33" "0" "6" "32" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_116_91.02___" "83f50e5492d91c37f0e395a4e26b9abe" "0" "0" "0" "69" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata__98.04_102_88.85____" "bc6ca83835cf86d3e8edd1a162434134" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "67" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_117_91.29___" "1d86c642963416f71a9ef9aa2c0682ce" "0" "0" "0" "0" "0" "0" "65" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_113_88.06_____" "893ae8d8c137bb08c43819af2ea2bea2" "0" "0" "0" "63" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_110_91.21_____" "deb112cc2f068a72e241a34763290a73" "0" "0" "17" "0" "0" "0" "0" "0" "0" "17" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_105_89.00_____" "b366cfac32cb711bf990880f530534c8" "0" "0" "0" "59" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__91.15_113_89.50_____" "34acbef7c2dc9651cb2cc292d2fb5c1d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata__98.04_102_88.85____" "3509f52139099d74eacc44d97b89ec3f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "58" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_113_88.06_____" "f7c22194dfe997654b855a1bcfae1c9f" "0" "0" "0" "56" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_114_89.27_____" "addbf6ca6181ce7818d26c22f5400006" "0" "0" "0" "0" "56" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_117_91.29___" "62197c31c64db236ec502c1887f08bcb" "0" "0" "0" "0" "0" "0" "56" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.05_105_71.09___" "392e62cdd17c3f2fe13788b46d26127c" "0" "0" "0" "56" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Fungi_environmental samples_uncultured fungus__100_118_91.30__" "d402ec361633f8aaf4955bd69d5146c1" "0" "0" "0" "0" "36" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata__100_98_72.36____" "ae0c4c308d1b3ffd02bf98e93cafc902" "0" "0" "19" "0" "0" "0" "0" "34" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__91.15_113_89.50_____" "0317ee24999f4b221f806b7b0fcb8d4d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "24" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.14_116_72.59___" "5dfab86845105b4066a643a0030c0bec" "0" "0" "16" "32" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_119_90.98_____" "edb8e75ccd161eecc33ddb4bd84c76b8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "44" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.36_61_89.70_____" "64691078b2d10b2fe635d9e7051107c6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "33" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0"
"Eukaryota_Fungi_environmental samples_uncultured fungus__100_118_91.30__" "5bb2293f092f9131910313f057aaf2ae" "0" "0" "0" "0" "0" "0" "0" "44" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.36_61_89.70_____" "e32a11a2d79cd6fdf7d013aa62412fd9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_119_91.31_____" "b8a28f98be8a3b7bb203dd2a0af8e183" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "38" "0" "0" "0" "0"
"Eukaryota_Alveolata__100_98_72.36____" "eb7a2d5c210d8ca8d78e74421f9611dc" "0" "0" "14" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_105_89.78_____" "565b41493cfa15b91c6137313d5bbc2b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "36" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_113_89.46___" "43aa7dc4d6e90cd7cedc1aa14203d076" "0" "0" "0" "36" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
