059d8425e102ab49beaadc5ec02f5ed2,Eukaryota	Metazoa	Platyhelminthes	Trematoda	Digenea,96.44	253	91.41
1066c95ccf060d390a88f61e23a36df7,Eukaryota	Rhizaria	Cercozoa,94.82	251	89.36
106eb2114b29a915e556c529c2bb26f3,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Haptorida,97.15	246	72.57
165df71ac53c993fda448c3f62fb3b60,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina,93.08	260	87.51
17927338a4359d6041e1ce17a51875c2,Eukaryota	Metazoa	Ecdysozoa	Nematoda	Chromadorea,97.61	251	90.43
1e6d96360a1081ef95ca718c89d96e96,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina,99.19	171	90.75
20b748980ce6434f17dc8c71edc80740,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda,98.02	253	91.44
27898b096ac30f5a606997ebcba66a87,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Hypotrichia	Euplotida,97.98	248	91.00
27988da6b62b444e389033c83484a73f,Eukaryota	Metazoa	Platyhelminthes	Trematoda	Digenea	Azygiida,98.81	253	72.99
2a24bb8a62422833bf70ce1a47fea5a0,Eukaryota	Alveolata,94.82	251	90.38
30346951efe187955698f8dfe5e16945,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina,99.16	222	91.37
329cdcd46b6da0e4c91d27182a344bd2,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina,99.31	172	91.31
384c33ffcd4dd3575ad8c511701b7135,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Physonectae,99.39	203	73.28
38b5c4e94cb0556efd881a708e7c4c56,Eukaryota	Stramenopiles	Chrysophyceae,99.2	250	92.16
3a071153427a6b5418c7b8fa3fddc7ea,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae,99.21	253	73.79
4321b456c07f9b6b5537a9defe2e4c8f,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,98.44	208	91.22
43ccfe07c42262b2bf5809b4df2097d3,Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Chaetothyriales	Herpotrichiellaceae,99.21	252	73.78
463be900523b50b993d3bc1e92e159a2,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium,99.2	251	73.28
47637639d598ce2649880d7529b65f92,Eukaryota	Alveolata	Apicomplexa	Conoidasida	Coccidia	Eucoccidiorida	Eimeriorina	Cryptosporidiidae	Cryptosporidium,95.95	247	72.15
4774b80baa0ec4fbebfc791542635684,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium,98.27	231	73.12
4dac5fe25a32e20670185223cdbe2f24,Eukaryota	Viridiplantae	Chlorophyta	prasinophytes	Mamiellophyceae	Mamiellales,99.6	251	92.26
